sentence	start	end	text_name	words	chars
Avaimetta pysyy ovi ikuisesti suljettuna.	3325	3366	jarnefelt1916a	4	41
Avain ei kyllä ole sen kummempi.	2953	2985	jarnefelt1916a	5	32
Avonaisista ovista hengähtelee kesäisen illan ilma.	658899	658950	lehtonen1910a	5	51
Äyskäri käy yhtenä kiekkona.	164656	164684	lehtonen1910a	3	28
Browningkuula ohimoon.	123719	123741	jarnefelt1916a	1	22
Edellinen on jonkun poikalapsen, jälkimmäinen tytön.	21738	21790	lehtonen1910a	5	52
Edes jostakin, hän, erillään eläjä.	241744	241779	lehtonen1910a	4	35
Eeva sai Jaakon innostumaan.	5803	5831	pakkala1895a	3	28
Eevan nukke sai kärsiä koston.	3873	3903	pakkala1895a	4	30
Eevasta se oli erinomaista ja mukavaa.	5658	5696	pakkala1895a	5	38
Ehkä ei tarvinnutkaan Jumalalle antaa marjoja.	86683	86729	pakkala1895a	5	46
Ehkä Kalle oli sittenkin oikeassa.	86730	86764	pakkala1895a	4	34
Ehkä loppui kaikki siihen?	236903	236929	canth1886a	3	26
Ehkä ne esteet ovat tunteissa.	165840	165870	jarnefelt1916a	4	30
Ehkä se ei tulekaan enää takaisin.	292802	292836	lehtonen1910a	5	34
Ehkei Mauno ole häntä ennättänyt yllyttää?	562897	562939	lehtonen1910a	5	42
Ei ainoata sanaa kaipauksesta, erosta, ikävästä.	126224	126272	canth1886a	5	48
Ei auttanut muu kuin päätellä sisällöstä.	139415	139456	jarnefelt1916a	5	41
Ei enää epäilystäkään.	24179	24201	jarnefelt1913a	2	22
Ei ensin näe mitään.	652185	652205	lehtonen1910a	3	20
Ei erota, kuka mitäkin huutaa.	642296	642326	lehtonen1910a	4	30
Ei hän muka tarvinnut Könösen jauhoja.	97397	97435	lehtonen1910a	5	38
Ei hän niin pian tuvasta pääse.	156373	156404	lehtonen1910a	5	31
Ei hän niinkään pystymätön ole.	170387	170418	lehtonen1910a	4	31
Ei hän olisi Maunoa kadehtinut.	502783	502814	lehtonen1910a	4	31
Ei hän paljoa ymmärrä.	771381	771403	lehtonen1910a	3	22
Ei hän pelosta siellä niityllä ole.	635599	635634	lehtonen1910a	5	35
Ei hän sinne lähde.	106443	106462	lehtonen1910a	3	19
Ei hän sitä nytkään tiedä.	500931	500957	lehtonen1910a	4	26
Ei hän sitäkään kuule.	130981	131003	jarnefelt1913a	3	22
Ei hänellä ollut muita.	774823	774846	lehtonen1910a	3	23
Ei herrasväkeä, eikä varsinkaan ylpeitä talonpoikia.	429604	429656	lehtonen1910a	5	52
Ei Käkriäinen muista oikein sanoja.	504605	504640	lehtonen1910a	4	35
Ei kauluksia, tuota korvettavan tornia.	575807	575846	lehtonen1910a	4	39
Ei kestäisi enää puoleksikaan niinkuin silloin.	17552	17599	canth1886a	5	47
Ei kuitenkaan ollut aivan varma siitä.	549205	549243	lehtonen1910a	5	38
Ei kukaan vastannut Anna Liisalle.	197845	197879	lassila1910a	4	34
Ei kun kangella pääkuoreen vaan.	211273	211305	lehtonen1910a	4	32
Ei kuukka tietemä.	114776	114794	jarnefelt1913a	2	18
Ei kuulu ääntä.	200581	200596	lehtonen1910a	2	15
Ei kuulu kelloja eikä lehmien ammumista.	45006	45046	lehtonen1910a	5	40
Ei kuulu vastausta.	384858	384877	lehtonen1910a	2	19
Ei kuulu vastausta.	488377	488396	lehtonen1910a	2	19
Ei lyhyeen tuokioon.	741242	741262	lehtonen1910a	2	20
Ei me olla sinun housujesi vaivaisia.	622605	622642	lehtonen1910a	5	37
Ei mikään, ei mikään auttanut.	22430	22460	jarnefelt1916a	4	30
Ei mitään mielenkiintoista.	1405	1432	jarnefelt1913a	2	27
Ei mitään, ei kerrassa mitään.	69817	69847	canth1886a	4	30
Ei mitään, joka toisi mieleen surua.	325491	325527	lehtonen1910a	5	36
Ei mitkään kyynelvirrat tehtyä tekemättömäksi saaneet.	238899	238953	canth1886a	5	54
Ei näe eteensä hieltä ja kärpäsiltä.	382517	382553	lehtonen1910a	5	36
Ei näe siivota marjoja, niin sanoo.	512350	512385	lehtonen1910a	5	35
Ei näkynyt eikä kuulunut ketään.	24202	24234	canth1886a	4	32
Ei näkynyt marjanvarsiakaan.	94859	94887	pakkala1895a	2	28
Ei näy missään.	174205	174220	lehtonen1910a	2	15
Ei näy, mistä siihen pääsisi ylös.	796474	796508	lehtonen1910a	5	34
Ei näy.	421213	421220	lehtonen1910a	1	7
Ei niistä oikean ihmisen maha täyty.	111596	111632	lehtonen1910a	5	36
Ei niitä puita enää paljoa tarvitakaan.	655577	655616	lehtonen1910a	5	39
Ei nyt.	81930	81937	jarnefelt1916a	1	7
Ei ole lähellä ketään.	274389	274411	lehtonen1910a	3	22
Ei ole niin kipeä enää.	630258	630281	lehtonen1910a	4	23
Ei ole sinun varassasi.	491689	491712	lehtonen1910a	3	23
Ei ole tuonut kuin muutamia puita.	299747	299781	lehtonen1910a	5	34
Ei ole.	368371	368378	lehtonen1910a	1	7
Ei ollut kerrassaan mitään neuvoa.	77572	77606	pakkala1895a	4	34
Ei ollut muita kuin Esteri huoneessa.	4972	5009	pakkala1895a	5	37
Ei ollut oikeastaan halua mihinkään.	7966	8002	pakkala1895a	4	36
Ei ollut puhunut juuri mitään.	508581	508611	lehtonen1910a	4	30
Ei ollut puhunutkaan paljoa.	549867	549895	lehtonen1910a	3	28
Ei ollut uskaltanut tulla pihalle.	561419	561453	lehtonen1910a	4	34
Ei ollut varaa laittaa.	42983	43006	pakkala1895a	3	23
Ei pässi kukkaroihinsa rahaa tarvitse.	432089	432127	lehtonen1910a	4	38
Ei pelottanut ollenkaan.	35251	35275	pakkala1895a	2	24
Ei puhunut silloin mitään.	520147	520173	lehtonen1910a	3	26
Ei risahdusta eikä ääntä.	205700	205725	canth1886a	3	25
Ei saa katsoa.	602470	602484	lehtonen1910a	2	14
Ei sano Muttinen mitään.	564566	564590	lehtonen1910a	3	24
Ei sanonut.	61404	61415	pakkala1895a	1	11
Ei se kierrä ketään.	139973	139993	lassila1910a	3	20
Ei se köyhemmille ainakaan, tietääkseni.	349532	349572	lehtonen1910a	4	40
Ei se kumminkaan, vanhaa ystävää.	431204	431237	lehtonen1910a	4	33
Ei se Makkos-vainajakaan milloinkaan velkakauppaa tehnyt.	213879	213936	lassila1910a	5	57
Ei se Malakias olekaan tyhjentänyt venettä.	153747	153790	lehtonen1910a	5	43
Ei se sellainen se rouva.	595350	595375	lehtonen1910a	4	25
Ei sieltä tule muita kuin Sanelma.	311104	311138	lehtonen1910a	5	34
Ei siis tavottanut heitä.	62039	62064	jarnefelt1913a	3	25
Ei siitä ollut yrittääkään.	80073	80100	pakkala1895a	3	27
Ei sillä niin pieni jalka ole.	133079	133109	lehtonen1910a	5	30
Ei silloin paleltanut, sellainen on.	520049	520085	lehtonen1910a	4	36
Ei sitä löydy aitasta mistään.	107029	107059	lehtonen1910a	4	30
Ei sittenkään huolittu vastata.	72500	72531	jarnefelt1916a	3	31
Ei sittenkään.	35436	35450	canth1886a	1	14
Ei sovi nyt puhua kielillä.	451215	451242	lehtonen1910a	4	27
Ei suostunut Maija Liisa.	95252	95277	lassila1910a	3	25
Ei tahtonut ehtiäkään tehdä.	74900	74928	lassila1910a	3	28
Ei tahtonut enää keksiä mistä alkaa.	129039	129075	lassila1910a	5	36
Ei tämä mökki ole Maunon oma.	292656	292685	lehtonen1910a	5	29
Ei tarvitsisi tätä Muttisenkaan muualta kuljetella.	209315	209366	lehtonen1910a	5	51
Ei tuosta heinänteostakaan.	236258	236285	lehtonen1910a	2	27
Ei vai, raiskalla.	248529	248547	lehtonen1910a	2	18
Ei vara vahingoksi.	708342	708361	lehtonen1910a	2	19
Ei vastannut mitään.	178743	178763	canth1886a	2	20
Ei vastausta.	153610	153623	lehtonen1910a	1	13
Ei vastausta.	385079	385092	lehtonen1910a	1	13
Ei vieläkään vastausta.	789493	789516	lehtonen1910a	2	23
Ei yhtikäs mikään.	182510	182528	canth1886a	2	18
Ei, ei aijotko sisääni tunkeutua?	41066	41099	jarnefelt1913a	4	33
Ei, ei ollut neidistäkään Rosinalle apua.	756798	756839	lehtonen1910a	5	41
Ei, ei tahtoisi Rosina niitä lisää.	742969	743004	lehtonen1910a	5	35
Ei, ei, vika on minussa.	266490	266514	jarnefelt1916a	4	24
Ei, hän ei tahtonut häiritä.	155097	155125	canth1886a	4	28
Ei, hiljaa oli Topi ystäväänsä huudellut.	165199	165240	lehtonen1910a	5	41
Ei, johonkin täytyy saada rouhaista kiinni.	386246	386289	lehtonen1910a	5	43
Ei, loppu tästä täytyy tulla.	599728	599757	lehtonen1910a	4	29
Ei, lukijani.	120130	120143	jarnefelt1916a	1	13
Ei, makaa, röhöttää silloin kuukausittain.	47699	47741	lehtonen1910a	4	42
Ei, minä en jaksa tätä.	780329	780352	lehtonen1910a	4	23
Ei, rakkaitahan ovat lapset, Jumalan lahjat.	53624	53668	lehtonen1910a	5	44
Ei, sanoin väärin.	123140	123158	jarnefelt1916a	2	18
Ei, selinpäs kääntyy Muttinen Perttaan.	547931	547970	lehtonen1910a	4	39
Ei, syy on tämmöinen.	154256	154277	jarnefelt1916a	3	21
Ei, tuleen vain Putkinotko.	504407	504434	lehtonen1910a	3	27
Eihän John siitä välitä, ajatteli hän.	146636	146674	canth1886a	5	38
Eihän Jöijellä ole ollut käsitystäkään uimisesta.	87372	87421	jarnefelt1916a	5	49
Eihän miestä mitata hatulla.	488963	488991	lehtonen1910a	3	28
Eihän se vanhan pää tällaista kestä.	728397	728433	lehtonen1910a	5	36
Eihän siitä soutamisesta mitään tullut.	69143	69182	jarnefelt1916a	4	39
Eihän sillä ennen sellaista ollut.	529347	529381	lehtonen1910a	4	34
Eihän sinne tupakatta.	704792	704814	lehtonen1910a	2	22
Eihän sitä metsäsikaa ollutkaan.	396427	396459	lehtonen1910a	3	32
Eihän tuota näy pihalla.	430325	430349	lehtonen1910a	3	24
Eikä antanut eukkonsakaan hankkia.	19133	19167	lehtonen1910a	3	34
Eikä auta.	233008	233018	canth1886a	1	10
Eikä avattua raamattua pöydän päässä telineellä.	770749	770797	lehtonen1910a	5	48
Eikä enää syökään.	631910	631928	lehtonen1910a	2	18
Eikä hän kiihdy milloinkaan.	304770	304798	lehtonen1910a	3	28
Eikä hän niitä poliisejakaan pelkää.	187036	187072	lehtonen1910a	4	36
Eikä hän oikein näe polkuakaan.	378293	378324	lehtonen1910a	4	31
Eikä hän pääse mukaan, vaikka tahtoo.	234436	234473	lehtonen1910a	5	37
